Ad group report
1 October 2024 - 30 April 2025
Ad group status,Ad group,Campaign,Currency code,Default Max CPC,Max. CPV,Max. CPM,Target CPA,Target ROAS,Target CPM,Status,Status reasons,Ad group type,Currency code,TrueView avg. CPV,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand inclusions,Locations of interest,Conv. (platform comparable),Cost / Conv. (platform comparable),Conv. value / Cost (platform comparable),Viewable CTR,Avg. viewable CPM,Viewable impr.,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.
Enabled,Consultations,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Eligible,unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,australian awning co,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,Awning Blinds,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,310%, --,Eligible,unknown,Standard,GBP,0,273.59,"6,531",585,8.96%,3.05,1786.84,[],[],0.00,0,0.00, --,0,0,585,5.78%,"7,294.21",4.08,33.82,3.05,52.83
Paused,Skylight Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Cost of Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,Blackout Awnings,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Eligible,unknown,Standard,GBP,0,219.38,644,88,13.66%,1.61,141.28,[],[],0.00,0,0.00, --,0,0,88,6.82%,920.00,6.51,6.00,1.61,23.55
Paused,[Australian Awning Company] #2,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Skylight Blinds (30 Days),DMG | Warm & RM - UK (tCPA £28),GBP, --, --, --,40.00, --, --,Paused,ad group paused, --,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Dundee,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Pitched,S | Gable Doors (tROAS: 250%),GBP, --, --, --, --,250%, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Glasgow,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,australian awnings dundee,S | Brand - SCL - PS (tCPA £8.50),GBP, --, --, --,8.50, --, --,Paused,ad group paused; unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,Edinburgh Awning Company,S | Non Brand - Awnings - PS (tROAS: 450%),GBP, --, --, --, --,450%, --,Eligible,unknown,Standard,GBP,0,0,0,0, --,0,0.00,[],[],0.00,0,0, --,0,0,0,0.00%,0.00,0.00,0.00,0,0.00
